ap#,ap_name,new_ap_name,ap_mac,ap_sn,ap_notes,height_actual,ap_orientation,mount_tag,profile_tag,2.4_GHz_TxP,5_GHz_TxP,6_GHz_TxP,Orientation Info,,,Mount Tag Options,,,Profile Tag Options,
1,bpcrb-ap02,,,,,3.0480370641306997,,,,9,12,15,0,Up,,conduit,,,cooler,Cooler APs
2,bpcrb-ap01,,,,,3.0480370641306997,,,,,,,90,Right,,cooler,,,outdoor,Outdoor APs w/Internal antenna
3,bpcrb-ap01,,,,,2.5,,,,,,,180,Down,,grid,,,d5g,Internal APs that need to be set to dual 5 GHz
4,bpcrb-ap01,,,,,2.5,,,,,,,270,Left,,ceiling,,,810,AP63E + ATS03022 antenna
5,bpcrb-ap01,,,,,2.5,,,,,,,,,,wall,,,1312,AP63E + ATS01022 antenna
6,bpcrb-ap01,,,,,2.5,,,,,,,,,,threaded-rod,,,,
7,bpcrb-ap01,,,,,2.5,,,,,,,,,,,,,,
8,bpcrb-ap01,,,,,2.5,,,,,,,Column B (ap_name) must match the AP names in Ekahau.,,,,,,,
9,,,,,,,,,,,,,Column C (new_ap_name) should be what you want the name of the AP to be updated to in Ekahau.,,,,,,,
10,,,,,,,,,,,,,AP notes are added to the AP notes section in Ekahau,,,,,,,
11,,,,,,,,,,,,,"Height should be input in decimal notation (9.5) and not feet + inches (9'6"")",,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,
